time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-07-03T03:22:00.242325Z,00269fda,QNqfJgCAtQMF3VpiT4RqLUQDP7FdVEtoUQ0=,0000024b0b031c97,1,867100000,7,125,4/5,-109,1.5,-1,010,949,5
2020-07-03T03:22:01.531340Z,26012682,QIImASYAbpYBKfJjT31ex/pfdQ==,0000024b0b031c97,1,868100000,7,125,4/5,-78,9.5,-1,010,38510,1
2020-07-03T03:22:01.571886Z,27007d4b,gEt9ACcAcCcC3IMmnSk5jY6B2WfWMmNkgOrKiFG5S4NKMohh2P+xaBrRSwAubjFCOuefXYi55y3HIaWvM0BItU6ssRDo0qy41mTUOCPCpZMtRaVcoliOdIEZqEafvyi0feItVp1USxFPmqVNc+rUgsRpM7J1fIp+66mt5RBUpu3SqA8ruT9F8AD7tIFRdGyCBA78pkohGqBOdy6msrrg2JgMwtl7qeMpHf7voFE3EmPg7leXpZf8lqBg0XOsTsevtPrbUcfc7YfjxS9AMkRCK6RhbZEheW82Cad6jbndSLK8Q6VvfWpUUtKQld3LSES95pVtN25WB6yOQ+w3Bk9V,0000024b0b031c97,1,867100000,8,125,4/5,-106,-8,-1,100,10096,2
2020-07-03T03:22:06.935420Z,27000228,QCgCACcA4hsFU6V96/xu+Kw7PIwxAhAaTV+YbGjMxbZ0q7r9VlCsxnXi81KUCQJ556zt9re1h1nW5jL4pY0CNQ==,0000024b0b031c97,1,867700000,8,125,4/5,-101,-7,-1,010,7138,5
2020-07-03T03:22:07.305939Z,20000007,QAcAACCAhv0KZAb+mvecQFd5E5tFLAFmK74=,0000024b0b031c97,1,868100000,7,125,4/5,-107,-3.5,-1,010,64902,10
2020-07-03T03:22:09.926987Z,27000251,gFECACcA3CwFGIL/yLLC6sO/,0000024b0b031c97,1,867900000,8,125,4/5,-108,-4,-1,100,11484,5
2020-07-03T03:22:23.676350Z,26012682,QIImASYAb5YBENq/R+k27v6YpA==,0000024b0b031c97,1,868100000,7,125,4/5,-77,8.8,-1,010,38511,1
2020-07-03T03:22:24.020207Z,270002e8,QOgCACeAOyIPEIXpQ5+ulMDADvZEwHX++4MUkPAtXlqVxkF22Q==,0000024b0b031c97,1,867700000,8,125,4/5,-106,-6.2,-1,010,8763,15
2020-07-03T03:22:24.763542Z,26012367,QGcjASYA5XcCSF+LAnb/r60TDA==,0000024b0b031c97,1,868500000,7,125,4/5,-71,7,-1,010,30693,2
2020-07-03T03:22:31.010356Z,26012efe,QP4uASaASCQFldQgsSXiDuKXs/cEvd8sI6HsytY=,0000024b0b031c97,1,868300000,12,125,4/5,-107,-8.8,-1,010,9288,5
2020-07-03T03:22:43.061495Z,20000000,QAAAACCAh/0Ke34WbyYiep9ZEnAW8O3uivc=,0000024b0b031c97,1,868500000,7,125,4/5,-107,0.8,-1,010,64903,10
2020-07-03T03:22:43.945905Z,27007d4b,gEt9ACcAcScChmH8Mjsh6gdZZWrUDgZSR25T379IuDZoAeBtuc4Me+pTfZbRNPxsSUntjuDtiRpJBapnvyHitsRbz7c4aQVMc9LWWLK7Ve84RzVM3hzhFSFOOA5tqcyhHG1wL6M6GknhSMhhQD1U6jJp3rRkRDSScRImeL2dZ+O98c3qQJUgZyXMKDuOP0+Dd8dYq/FPgV6ad5o+PBGI9zkyqwKH22+yebp8gK8yCXij8FWboeMx0sAgotBPvEr8hxtjbU3NA4mjFzFokS+z2RUq1ZqBNSWTVbzstVCsg7nGPBK4rGLOuwjaSG2oWWnKDkrAl/Niwys784LcKoGb,0000024b0b031c97,1,868500000,8,125,4/5,-101,1,-1,100,10097,2
2020-07-03T03:22:45.821175Z,26012682,QIImASYAcJYBd1dwSSL4laRgDw==,0000024b0b031c97,1,868500000,7,125,4/5,-77,4.8,-1,010,38512,1
2020-07-03T03:23:07.904464Z,00f39d01,QAGd8wCAMwIFLPxPoK8gT2wFtWUavfWdHTlBCe3TPjf9SKI=,0000024b0b031c97,1,867500000,9,125,4/5,-96,0.2,-1,010,563,5
2020-07-03T03:23:07.966023Z,26012682,QIImASYAcZYBT+KxmLJ3cpPw8g==,0000024b0b031c97,1,868300000,7,125,4/5,-78,9.2,-1,010,38513,1
2020-07-03T03:23:16.076230Z,27007da1,gKF9ACcAAAACegzPNPTNhGhOZqzcLmDwDmUfNbjd,0000024b0b031c97,1,867500000,8,125,4/5,-102,-11.5,-1,100,0,2
2020-07-03T03:23:17.254429Z,26012786,QIYnASaASCQFpMHQ/CdTxVrTysdXHVJ9z5q8NrI=,0000024b0b031c97,1,868100000,12,125,4/5,-91,-9.5,-1,010,9288,5
2020-07-03T03:23:17.752509Z,260121fe,QP4hASaAbQIC1QI0aeshIP/PFJHCbWPTyu1ZK1pvv8fLa1GPw3JH,0000024b0b031c97,1,867700000,7,125,4/5,-105,-7.2,-1,010,621,2
2020-07-03T03:23:18.153507Z,20000018,QBgAACCAsuEKfgwBWuJjyzzoha3X9Mcw7no=,0000024b0b031c97,1,868500000,7,125,4/5,-108,-6.2,-1,010,57778,10
2020-07-03T03:23:21.262733Z,48dd00ae,QK4A3UiASqEF3gzT92mrwn2pZ5gJkt/1muwVRwI=,0000024b0b031c97,1,868300000,12,125,4/5,-101,0.2,-1,010,41290,5
2020-07-03T03:23:24.570155Z,27007da1,gKF9ACcAAQACoYzR9PLsuaqTD8o=,0000024b0b031c97,1,868500000,8,125,4/5,-107,-1.5,-1,100,1,2
2020-07-03T03:23:26.313412Z,27007d4b,gEt9ACcAcicCz245gvScqUBBZGfTFd/CUsT1wRXZ1FxfzRX1N1r4z5BafZdZhUlIvGpRb1JDLxn+RpCnEE/081RCAPk4evVvGqxSyd8EaRqdsKI+ttcXwjOJsva4OeAGaoW708cY1vAMyikstXWLy59sbHwbyDFt89qO37H6NzeuRA+M2iLHIQ7TujEhvyStJwGp2ABJShHHSuEYAIzFNoV11cUJGASr1yzE1Ul3l8qysfH2VNMuPrX9x8ulJu5/2kOvlCoJLWoP9lC9hfTRm4rX0pdfYdMQqnbcV8KpcIffgmMIIhpuREVkGnJ+Mx2/lYs3kjvN8/oAcLEPfJ+K,0000024b0b031c97,1,867100000,8,125,4/5,-93,-1,-1,100,10098,2
2020-07-03T03:23:27.644834Z,2601236d,QG0jASaAE90FLjbeZgSXWdK7b7OGnrYZasf7hl4=,0000024b0b031c97,1,867500000,12,125,4/5,-89,-6.2,-1,010,56595,5
2020-07-03T03:23:30.111018Z,26012682,QIImASYAcpYB13ajPg6a+wQ4mA==,0000024b0b031c97,1,867900000,7,125,4/5,-76,8.5,-1,010,38514,1
2020-07-03T03:23:32.731321Z,2000008b,QIsAACCAXYMKHqGt0d1UlSSxEtA=,0000024b0b031c97,1,868500000,7,125,4/5,-109,-3,-1,010,33629,10
2020-07-03T03:23:41.117124Z,260128c8,QMgoASaCqQwDBwW7gOc8smZcCQju9oTdLu2nkJ1W54g=,0000024b0b031c97,1,868300000,7,125,4/5,-97,5,-1,010,3241,5
2020-07-03T03:23:50.330090Z,20000001,QAEAACCAlP4Ktw6ABK+j64lDW6chf6/X1pMMHDY=,0000024b0b031c97,1,868500000,7,125,4/5,-109,-8.5,-1,010,65172,10
2020-07-03T03:23:50.954515Z,27008220,QCCCACeA8AAB4h0WxpMm/IvdydCmkA6b17JG4QNIP4MvmXHv,0000024b0b031c97,1,867500000,11,125,4/5,-97,4.5,-1,010,240,1
2020-07-03T03:23:52.255923Z,26012682,QIImASYAc5YB/ZhGMb8N0u7/zw==,0000024b0b031c97,1,867700000,7,125,4/5,-76,9.5,-1,010,38515,1
2020-07-03T03:23:55.988170Z,0167b82b,QCu4ZwGA1UAFUFhBFVG0yD7WiaUYbTMdW/1P4Iw=,0000024b0b031c97,1,867100000,7,125,4/5,-109,-3,-1,010,16597,5
2020-07-03T03:23:57.649034Z,270002f0,gPACACcAvkwFAe2v7TitIOsjUXAOVeHLgH/Sug==,0000024b0b031c97,1,868500000,8,125,4/5,-107,-9,-1,100,19646,5
2020-07-03T03:23:59.940945Z,01fc8437,QDeE/AGAyQgFixdDvEWpf6x3QD8gct1G/wBaq6s=,0000024b0b031c97,1,868500000,7,125,4/5,-101,2,-1,010,2249,5
2020-07-03T03:22:59.601207460Z,66731eae,r64ec2Z8otctUSsy0vZKZFaIftGKhGHlyGQRgw8NLjNiUNJhYnQZrUH89EO937Q4zsUDWwj0FlWr52Bq8j1p5nF5uH1gqG74pKS/Bw==,00800000a0001793,-1,867100000,7,125,OFF,-110,-11.2,-1,101,55202,138
2020-07-03T03:20:59.786952Z,04a04a41,QEFKoASAEAgB/qu/ny5L+KZurpg9Vjw4tlKePDSy9VFt,7276ff002e062804,1,868100000,11,125,4/5,-99,-3,-1,010,2064,1
2020-07-03T03:21:14.265549Z,-1,,7276ff002e062804,-1,868500000,7,125,4/5,-101,-9.2,-1,-1,-1,-1
2020-07-03T03:21:46.353783Z,-1,,7276ff002e062804,-1,867700000,7,125,???,-115,-11,-1,-1,-1,-1
2020-07-03T03:21:56.776163Z,-1,,7276ff002e062804,-1,867500000,7,125,???,-114,-11.5,-1,-1,-1,-1
2020-07-03T03:22:00.245542Z,01a8329f,QJ8yqAGAdxEFdPDYd7FlCoXwPzMC,7276ff002e062804,1,868300000,9,125,4/5,-108,-14,-1,010,4471,5
