time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-09-02T00:00:01.690637Z,260121d5,QNUhASYALQAFfTJl17HbSd4Eqj6FzeRWp0odzjcmT1yXU6SF9n4=,0000024b0b031c97,1,867300000,12,125,4/5,-105,-7.5,-1,010,45,5
2020-09-02T00:00:25.502565Z,14000002,QAIAABSAVEMKHeqjgnaoH66n1eQKBwe7KhJg5og=,0000024b0b031c97,1,868100000,12,125,4/5,-105,-7.2,-1,010,17236,10
2020-09-02T00:00:32.563460Z,27000398,QJgDACeA9wcC7dygbaE1pFxfhNxo9Ss3,0000024b0b031c97,1,868300000,12,125,4/5,-92,-13.5,-1,010,2039,2
2020-09-02T00:00:35.646179Z,26012401,QAEkASaADAMCOquup6OofXdUJdtOP8tHWzIkiQd6wdhliA==,0000024b0b031c97,1,867900000,7,125,4/5,-106,-1.8,-1,010,780,2
2020-09-02T00:00:35.971066Z,26011b56,QFYbASaASAABdpddw/+P8V0=,0000024b0b031c97,1,868500000,7,125,4/5,-107,0.5,-1,010,72,1
2020-09-02T00:00:41.794592Z,2000000c,QAwAACCALCYKre6W57xrcFdGgMD4HgtkxZUnsR4=,0000024b0b031c97,1,868500000,7,125,4/5,-108,-4.5,-1,010,9772,10
2020-09-02T00:00:42.070073Z,-1,HmAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=,0000024b0b031c97,1,868300000,8,125,4/5,-85,4.5,-1,000,-1,-1
2020-09-02T00:01:01.774283Z,26011b56,QFYbASaASQABt8uwmal8tmllZqSe,0000024b0b031c97,1,867100000,7,125,4/5,-109,-3.8,-1,010,73,1
2020-09-02T00:01:07.956426Z,26012a23,QCMqASbASRkFeouuUiq3oUH9p7Rve3XnGoqcQg==,0000024b0b031c97,1,867700000,7,125,4/5,-105,3,-1,010,6473,5
2020-09-02T00:01:24.704956Z,04805858,QFhYgASAiwgBCz+ZDW8jQCLie3q3WEY7HYY02mlCb9va+fPlMFagdQ==,0000024b0b031c97,1,868300000,7,125,4/5,-101,-3.2,-1,010,2187,1
2020-09-02T00:01:25.025924Z,26012bc2,QMIrASaA4f8Fs9zit7unXxb2W0F1xRebmL5Ak90=,0000024b0b031c97,1,868500000,12,125,4/5,-103,4,-1,010,65505,5
2020-09-02T00:01:35.646666Z,26012401,QAEkASaADQMCb3pcD5nM7/CdKBhLlYY60Bu1rGye5QLGlA==,0000024b0b031c97,1,867900000,7,125,4/5,-109,-2.2,-1,010,781,2
2020-09-02T00:01:37.040321Z,20000000,QAAAACCALCYKA0Jt5lJ6mrNDp43j4XeeR7JI60k=,0000024b0b031c97,1,868100000,7,125,4/5,-108,-7.5,-1,010,9772,10
2020-09-02T00:01:43.759104Z,26012dce,QM4tASaANf0FyTP3mubdeTfgiEQJDWAdv8bXBgE=,0000024b0b031c97,1,867300000,12,125,4/5,-93,7,-1,010,64821,5
2020-09-02T00:01:49.235590Z,26012e98,QJguASYA9A0Cx8NBWy4/uy+oDA==,0000024b0b031c97,1,867700000,7,125,4/5,-73,8.5,-1,010,3572,2
2020-09-02T00:01:53.561548Z,2000000b,QAsAACCAKyYKMuE2p9mKJh4q6WjHbIb60wc=,0000024b0b031c97,1,868300000,7,125,4/5,-105,-5.2,-1,010,9771,10
2020-09-02T00:01:55.626355Z,14000006,QAYAABSAVUMKTyo+QTCxxr972lEVeVzesGc=,0000024b0b031c97,1,868100000,12,125,4/5,-111,-10.5,-1,010,17237,10
2020-09-02T00:02:00.573147Z,26012de0,QOAtASaAAQMKv09xZkFAJa0viRHgiYVgNg==,0000024b0b031c97,1,868500000,12,125,4/5,-103,-4.2,-1,010,769,10
2020-09-02T00:02:00.829603Z,26012445,QEUkASYAMQAFe01ho5EFNVmRuD4/RKUModFfpJL9WlNDiE/PF6s=,0000024b0b031c97,1,867300000,12,125,4/5,-103,-2.5,-1,010,49,5
2020-09-02T00:02:06.291921Z,00fabb85,QIW7+gCBBAICBa4rn8V9FaIwWp1gFuPjXN9CkT9TiW/wPyy9,0000024b0b031c97,1,867900000,7,125,4/5,-96,7,-1,010,516,5
2020-09-02T00:02:08.777760Z,04a04392,QJJDoASA7wMBpN/eIJ0puby/VDMX1UEI2zA7GHYqA4PU,0000024b0b031c97,1,868300000,7,125,4/5,-89,1.8,-1,010,1007,1
