method,rowsEvaluated,outliers,outlierRate,notes
IQR,608949,72034,0.118292,Fast univariate method; useful for impossible sensor spikes.
Isolation Forest,30000,5602,0.186733,Multivariate method; selected for scalable production screening.
DBSCAN,6000,163,0.027167,Density method; useful offline but less stable across mixed domains.
