model,f1,precision,recall,rocAuc,latencyMs,sizeBytes
Logistic Regression,0.750865,0.659186,0.872164,0.961135,0.000383,1797
Random Forest,0.862571,0.798294,0.938107,0.989267,0.021855,32427327
Gradient Boosting,0.724009,0.576304,0.97352,0.985668,0.002104,396813
Extra Trees,0.837998,0.762857,0.929558,0.984184,0.028266,46156182
Small Neural Network,0.891862,0.948302,0.841764,0.983882,0.079514,91603
